1, 11, 17, 18, 20, 0, 0, 0
2, 11, 17, 18, 20, 0, 0, 0
3, 11, 17, 17, 20, 0, 0, 0
4, 11, 17, 17, 20, 0, 0, 0
5, 11, 16, 17, 19, 0, 0, 0
6, 11, 16, 17, 19, 0, 0, 0
7, 11, 15, 17, 18, 0, 0, 0
8, 11, 15, 17, 18, 0, 0, 0
9, 10, 15, 16, 18, 0, 0, 0
10, 10, 15, 16, 18, 0, 0, 0
11, 10, 15, 16, 18, 0, 0, 0
12, 10, 15, 16, 18, 0, 0, 0
13, 10, 14, 15, 17, 0, 0, 0
14, 10, 14, 15, 17, 0, 0, 0
15, 10, 14, 15, 17, 0, 0, 0
16, 10, 14, 15, 10, 0, 0, 0
17, 0, 15, 13, 0, 0, 0, 0
18, 0, 12, 13, 12, 13, 0, 0
19, 19, 12, 12, 12, 14, 13, 0
20, 20, 11, 12, 11, 12, 13, 0
21, 12, 10, 10, 10, 12, 9, 0
22, 11, 10, 10, 9, 9, 9, 0
23, 11, 9, 9, 9, 10, 10, 0
24, 10, 9, 9, 9, 10, 9, 0
25, 10, 9, 9, 9, 9, 9, 0
26, 9, 9, 9, 9, 9, 9, 0
27, 9, 8, 9, 9, 9, 10, 13
28, 12, 12, 12, 8, 8, 9, 9
29, 0, 0, 0, 0, 0, 0, 0
